,0,1,2,3,4,5,6,7,HH,freq,rk,ra,u1,u2,k5,k8
1014,0.0,14.0,12.0,12.0,12.0,11.0,12.0,12.0,31352488420.0,4947.0,13543102.0,0.4802038576428781,3.2832665,0.3846062,3,6
1015,0.0,11.0,11.0,13.0,13.0,12.0,12.0,12.0,31357886406.0,4945.0,13548047.0,0.4803791947315336,4.437325,-1.0150299,3,6
1016,1.0,11.0,16.0,11.0,12.0,11.0,12.0,12.0,31352479643.0,4943.0,13552990.0,0.4805544609052897,5.1694703,5.5334854,5,8
1017,2.0,16.0,16.0,10.0,13.0,10.0,13.0,12.0,31460929634.0,4942.0,13557932.0,0.4807296916215961,2.0550272,6.608586,4,7
1018,0.0,10.0,11.0,12.0,11.0,11.0,11.0,12.0,31238873688.0,4934.0,13562866.0,0.4809046386783051,4.6817226,-1.3769687,3,6
1019,2.0,9.0,17.0,14.0,12.0,12.0,12.0,12.0,31357665660.0,4927.0,13567793.0,0.4810793375328664,2.0522947,9.873917,4,1
1020,1.0,10.0,15.0,13.0,11.0,13.0,12.0,13.0,33856931329.0,4927.0,13572720.0,0.4812540363874277,6.340281,4.450222,2,3
1021,2.0,16.0,15.0,14.0,13.0,12.0,12.0,12.0,31357899102.0,4925.0,13577645.0,0.4814286643270896,0.38892004,6.4029512,4,7
1022,3.0,12.0,19.0,16.0,12.0,12.0,12.0,12.0,31357687991.0,4922.0,13582567.0,0.4816031858944025,0.4958203,9.68689,4,1
1023,0.0,12.0,11.0,13.0,13.0,12.0,12.0,12.0,31357886428.0,4921.0,13587488.0,0.4817776720042657,4.0179105,-0.7639813,3,6
1024,1.0,17.0,10.0,12.0,12.0,11.0,12.0,12.0,31352487519.0,4918.0,13592406.0,0.4819520517417799,0.53730834,1.1096171,1,4
1025,2.0,15.0,17.0,10.0,12.0,10.0,12.0,12.0,31347315936.0,4918.0,13597324.0,0.482126431479294,2.2759414,7.0931163,4,7
1026,1.0,12.0,15.0,12.0,11.0,12.0,12.0,13.0,33851767093.0,4912.0,13602236.0,0.4823005984721102,4.9072094,4.790221,5,8
1027,2.0,12.0,18.0,13.0,12.0,12.0,12.0,12.0,31357655562.0,4909.0,13607145.0,0.4824746590925772,1.6286086,8.933118,4,1
